quarter,strategy,tickers,return
2020-Q2,MOM,"['7733.T', '4568.T', '4519.T', '8035.T', '6702.T', '7741.T', '4063.T', '8001.T', '6758.T', '6098.T']",0.27775936569771675
2020-Q2,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",0.06968076356980987
2020-Q2,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",0.2557977984756189
2020-Q2,COMP,"['4519.T', '7733.T', '4568.T', '6702.T', '4063.T', '8035.T', '6758.T', '6971.T', '8306.T', '8001.T']",0.22597545872957583
2020-Q3,MOM,"['4519.T', '4568.T', '6702.T', '8035.T', '6861.T', '7733.T', '4063.T', '7741.T', '4543.T', '4523.T']",0.07553574926879736
2020-Q3,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",0.020493249035119888
2020-Q3,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",0.05563857670898938
2020-Q3,COMP,"['4519.T', '4568.T', '6702.T', '4063.T', '8035.T', '7733.T', '4523.T', '4543.T', '6758.T', '6861.T']",0.06647093993513128
2020-Q4,MOM,"['4519.T', '4523.T', '6702.T', '7733.T', '8035.T', '4543.T', '8267.T', '4568.T', '6758.T', '9984.T']",0.13958195038356191
2020-Q4,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",0.13480925786756434
2020-Q4,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",0.18038726653750187
2020-Q4,COMP,"['4519.T', '4523.T', '6702.T', '7733.T', '4543.T', '6758.T', '4568.T', '4063.T', '8035.T', '9984.T']",0.15388923431653223
2021-Q1,MOM,"['9984.T', '8035.T', '6594.T', '4568.T', '4519.T', '4063.T', '6702.T', '6758.T', '6861.T', '7741.T']",0.03555352842787307
2021-Q1,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",0.19148031303912674
2021-Q1,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",0.12957837819624812
2021-Q1,COMP,"['9984.T', '6594.T', '4063.T', '4568.T', '4519.T', '8035.T', '6702.T', '6954.T', '6758.T', '7733.T']",0.0652763744694185
2021-Q2,MOM,"['6594.T', '9984.T', '9983.T', '8035.T', '6758.T', '6902.T', '8267.T', '4063.T', '6954.T', '6861.T']",-0.03498152604276511
2021-Q2,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",0.07410931551737687
2021-Q2,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",0.02149229473443647
2021-Q2,COMP,"['6594.T', '9984.T', '8035.T', '6902.T', '6954.T', '6758.T', '9983.T', '4063.T', '8316.T', '6702.T']",-0.010492798945021309
2021-Q3,MOM,"['8035.T', '5401.T', '6902.T', '6594.T', '6501.T', '9984.T', '6758.T', '6702.T', '4901.T', '8031.T']",0.014379817326034262
2021-Q3,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",0.02142438494682568
2021-Q3,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",0.03576609239200355
2021-Q3,COMP,"['8035.T', '6902.T', '5401.T', '6594.T', '8306.T', '8316.T', '6702.T', '6954.T', '4063.T', '4901.T']",0.0191835603706642
2021-Q4,MOM,"['5401.T', '4901.T', '6501.T', '6902.T', '8035.T', '7741.T', '2802.T', '6098.T', '5108.T', '6861.T']",0.06751278570094044
2021-Q4,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",0.0018038505836339702
2021-Q4,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",0.03476265678798266
2021-Q4,COMP,"['5401.T', '4901.T', '6902.T', '8306.T', '6501.T', '5108.T', '8035.T', '8316.T', '6702.T', '6954.T']",0.04683046217353095
2022-Q1,MOM,"['6501.T', '6902.T', '8035.T', '6098.T', '4901.T', '2802.T', '7203.T', '8031.T', '8058.T', '6758.T']",-0.03966817029143066
2022-Q1,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",-0.026332985737292557
2022-Q1,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",-0.05683789081403031
2022-Q1,COMP,"['6902.T', '8306.T', '4901.T', '6501.T', '8316.T', '8035.T', '6098.T', '7203.T', '6758.T', '6702.T']",-0.07168286758779957
2022-Q2,MOM,"['2802.T', '5401.T', '7203.T', '3382.T', '8058.T', '8035.T', '8306.T', '8031.T', '6902.T', '9432.T']",-0.10133266002547103
2022-Q2,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",-0.018682694223803677
2022-Q2,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",-0.12006366012619145
2022-Q2,COMP,"['8306.T', '5401.T', '8316.T', '7203.T', '2802.T', '6902.T', '3382.T', '8058.T', '4901.T', '8035.T']",-0.09431001705578514
2022-Q3,MOM,"['8058.T', '7011.T', '9432.T', '8031.T', '4568.T', '9433.T', '2802.T', '8306.T', '8035.T', '5401.T']",0.048061917777394755
2022-Q3,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",-0.007152626022756658
2022-Q3,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",-0.010721919512145206
2022-Q3,COMP,"['8058.T', '8306.T', '7011.T', '8031.T', '4568.T', '9432.T', '8316.T', '6971.T', '9433.T', '7270.T']",0.03652184563067644
