Date,2802.T,2914.T,3382.T,3407.T,4063.T,4502.T,4519.T,4523.T,4543.T,4568.T,4661.T,4901.T,4911.T,5108.T,5401.T,5802.T,6098.T,6501.T,6503.T,6594.T,6702.T,6758.T,6861.T,6902.T,6954.T,6971.T,7011.T,7203.T,7267.T,7270.T,7733.T,7741.T,8001.T,8031.T,8035.T,8058.T,8267.T,8306.T,8316.T,8802.T,9020.T,9022.T,9432.T,9433.T,9983.T,9984.T,^N225
2023-04-11,2289.685791015625,2410.369384765625,1802.855712890625,850.8876953125,3765.8056640625,3934.825927734375,3035.566650390625,7045.59716796875,1863.0029296875,4390.3349609375,4731.72509765625,2128.34130859375,6162.35107421875,2362.178955078125,494.1175231933594,1528.5887451171875,3650.183349609375,1413.4832763671875,1462.4378662109375,3283.370849609375,1701.869384765625,2333.053466796875,58785.17578125,1740.196533203125,4256.56396484375,1623.1265869140625,494.8343505859375,1701.51318359375,1057.9500732421875,1910.3204345703125,2453.359130859375,14117.263671875,796.2706909179688,1884.3892822265625,15135.419921875,1502.0791015625,825.4506225585938,788.551513671875,1651.87353515625,1545.8072509765625,2383.7607421875,3145.75732421875,145.8018341064453,1865.5635986328125,28955.05859375,1259.9591064453125,27923.369140625
2023-04-12,2294.527587890625,2406.0654296875,1811.64111328125,861.9954833984375,3864.705810546875,3972.47998046875,3040.244140625,7070.74951171875,1851.7860107421875,4452.98583984375,4814.0068359375,2157.658203125,6176.79150390625,2388.2705078125,503.2816162109375,1545.1192626953125,3678.940673828125,1424.5201416015625,1477.2196044921875,3297.01904296875,1707.2288818359375,2361.60107421875,59069.49609375,1736.68359375,4280.232421875,1626.6346435546875,497.74169921875,1699.18359375,1063.3587646484375,1914.870849609375,2424.883056640625,13921.462890625,810.5198364257812,1929.4327392578125,15187.80859375,1535.5068359375,834.1327514648438,790.2152099609375,1664.40625,1538.613037109375,2383.442626953125,3156.52685546875,147.0577850341797,1866.489501953125,28799.568359375,1278.7276611328125,28082.69921875
2023-04-13,2284.84375,2404.77392578125,1812.896240234375,862.2708740234375,3880.871826171875,3980.548583984375,3098.2421875,7094.04052734375,1859.5889892578125,4548.40673828125,4802.111328125,2153.515625,6298.0947265625,2374.7744140625,495.8512878417969,1529.5072021484375,3703.731201171875,1414.4512939453125,1487.23291015625,3273.134521484375,1714.537353515625,2342.8974609375,60540.10546875,1733.1708984375,4323.78271484375,1622.1910400390625,493.0899353027344,1688.933349609375,1059.1522216796875,1910.7755126953125,2399.35302734375,14029.154296875,812.7697143554688,1928.9683837890625,14949.6787109375,1534.887939453125,856.64208984375,786.3330078125,1656.76416015625,1540.0521240234375,2384.716552734375,3150.652587890625,147.02084350585938,1873.433349609375,29416.671875,1266.380126953125,28156.970703125
2023-04-14,2334.230224609375,2416.82568359375,1843.64453125,860.251220703125,3926.518310546875,4003.8583984375,3125.37060546875,7168.5673828125,1877.6339111328125,4559.00927734375,4759.48291015625,2167.85546875,6449.24169921875,2371.17626953125,494.69549560546875,1531.802978515625,3709.68115234375,1434.201416015625,1506.30615234375,3280.4462890625,1734.513427734375,2384.242431640625,60795.01171875,1739.025390625,4329.46337890625,1629.4412841796875,491.9269714355469,1684.740234375,1044.729736328125,1879.831787109375,2391.49755859375,14078.103515625,849.517822265625,1991.1929931640625,14682.9765625,1559.339599609375,867.7359619140625,783.8373413085938,1662.266357421875,1541.4908447265625,2387.265625,3132.050048828125,147.35330200195312,1880.8402099609375,31914.220703125,1264.4044189453125,28493.470703125
2023-04-17,2325.999267578125,2434.04296875,1848.0372314453125,861.0774536132812,3951.2431640625,4000.272216796875,3103.855224609375,7104.28759765625,1888.3631591796875,4580.2138671875,4748.57763671875,2177.4150390625,6322.16162109375,2408.513916015625,494.2000427246094,1541.9049072265625,3749.34619140625,1452.2088623046875,1508.21337890625,3295.0693359375,1749.6173095703125,2389.164794921875,60942.0703125,1751.9052734375,4418.45654296875,1623.3604736328125,492.8961181640625,1708.967529296875,1057.0489501953125,1902.58447265625,2432.73876953125,14073.208984375,836.9559326171875,1965.653076171875,14749.65234375,1552.8397216796875,854.2303466796875,803.9879150390625,1703.83837890625,1544.3685302734375,2394.593017578125,3166.31787109375,146.6514434814453,1880.8402099609375,31049.310546875,1277.492919921875,28514.779296875
2023-04-18,2356.50244140625,2454.703125,1888.8258056640625,863.2806396484375,3919.861572265625,4024.478271484375,3134.72509765625,7263.5888671875,1936.157470703125,4612.984375,4817.97265625,2183.151123046875,6427.09814453125,2409.863525390625,494.2000427246094,1551.08837890625,3813.802001953125,1470.4097900390625,1527.28662109375,3312.61669921875,1764.7210693359375,2399.993408203125,61167.56640625,1745.8167724609375,4429.8173828125,1640.4337158203125,495.51275634765625,1708.501708984375,1066.06298828125,1926.702392578125,2472.01611328125,13999.7841796875,848.5803833007812,1991.1929931640625,14411.5107421875,1555.3157958984375,871.4339599609375,811.6598510742188,1727.68115234375,1553.9609375,2417.5322265625,3202.543701171875,149.60662841796875,1920.6510009765625,31214.515625,1280.7032470703125,28658.830078125
2023-04-19,2365.70166015625,2486.98486328125,1879.4127197265625,869.2476806640625,3898.9404296875,4014.6162109375,3104.79052734375,7183.4716796875,1919.0880126953125,4635.1533203125,4887.36767578125,2182.513916015625,6429.98681640625,2410.7626953125,500.30950927734375,1550.1700439453125,3768.18701171875,1481.6405029296875,1532.53173828125,3258.024169921875,1752.0533447265625,2423.618896484375,60285.19921875,1754.4813232421875,4398.5751953125,1629.4412841796875,494.1559753417969,1698.717529296875,1067.264892578125,1926.702392578125,2406.71728515625,13945.9375,844.2681274414062,1987.942626953125,14411.5107421875,1563.3631591796875,873.3633422851562,822.3822021484375,1748.4671630859375,1552.5220947265625,2442.701904296875,3228.978515625,149.60662841796875,1915.558837890625,31195.080078125,1278.9747314453125,28606.759765625
2023-04-20,2352.62890625,2478.806640625,1885.3743896484375,870.8999633789062,3847.58837890625,4018.202392578125,3057.08203125,7099.62890625,1927.86669921875,4592.74365234375,4842.75634765625,2183.151123046875,6453.09130859375,2400.41650390625,498.6582946777344,1550.629150390625,3759.262451171875,1487.6427001953125,1542.0684814453125,3232.677490234375,1773.9783935546875,2426.572509765625,61304.8203125,1746.519287109375,4415.6171875,1642.3048095703125,493.2837829589844,1689.865234375,1063.0582275390625,1930.7979736328125,2406.2265625,13931.2529296875,837.8935546875,1969.832275390625,14663.92578125,1545.1019287109375,874.4888305664062,819.3318481445312,1750.91259765625,1553.481201171875,2432.50634765625,3223.10400390625,148.64620971679688,1909.5408935546875,31632.39453125,1257.983642578125,28657.5703125
2023-04-21,2362.312744140625,2472.78076171875,1875.3341064453125,870.80810546875,3882.77392578125,4027.167724609375,3070.1787109375,7185.33544921875,1927.37890625,4578.28564453125,4742.63037109375,2183.151123046875,6461.75634765625,2396.817626953125,496.5117492675781,1545.1192626953125,3753.312744140625,1496.3560791015625,1547.3135986328125,3193.1953125,1764.7210693359375,2419.681884765625,61118.546875,1735.2786865234375,4394.78857421875,1642.53857421875,492.02392578125,1679.1492919921875,1045.931640625,1911.6856689453125,2379.223388671875,13598.3916015625,835.6436157226562,1960.0804443359375,14849.666015625,1542.6256103515625,875.4534912109375,801.1224975585938,1719.7335205078125,1552.042236328125,2438.878662109375,3213.3134765625,148.20291137695312,1901.2083740234375,31068.748046875,1233.7821044921875,28564.369140625
2023-04-24,2366.670166015625,2469.76806640625,1876.275390625,866.67724609375,3835.2255859375,4048.683837890625,3177.756591796875,7220.736328125,1949.3251953125,4645.75537109375,4750.560546875,2201.9521484375,6536.84765625,2407.164306640625,490.4023742675781,1552.0067138671875,3704.722900390625,1505.6500244140625,1553.9891357421875,3228.778076171875,1769.593505859375,2418.697265625,61108.7421875,1765.9561767578125,4385.3203125,1633.183349609375,500.4552917480469,1675.422119140625,1049.2366943359375,1924.882080078125,2404.753662109375,13617.970703125,837.3309936523438,1948.9359130859375,14563.912109375,1538.9114990234375,878.6690673828125,792.1564331054688,1702.00439453125,1553.9609375,2470.419921875,3263.245849609375,149.2372283935547,1904.9117431640625,30971.564453125,1248.10546875,28593.51953125
2023-04-25,2344.882080078125,2495.593017578125,1884.1192626953125,869.43115234375,3870.41162109375,4063.92529296875,3218.91650390625,7109.876953125,1945.9112548828125,4625.51513671875,4740.64697265625,2204.501220703125,6475.23388671875,2413.012451171875,471.5788269042969,1546.037353515625,3741.4130859375,1494.22607421875,1605.010009765625,3258.51171875,1781.77392578125,2423.618896484375,61618.55078125,1781.6463623046875,4347.45166015625,1643.2401123046875,496.48187255859375,1677.28564453125,1052.2415771484375,1938.5338134765625,2376.277587890625,13818.6669921875,834.3311767578125,1962.8668212890625,14592.4873046875,1544.48291015625,883.1710205078125,794.097412109375,1722.484619140625,1559.2366943359375,2478.385009765625,3281.84814453125,150.82565307617188,1915.095947265625,31068.748046875,1242.1785888671875,28620.0703125
